TZ,CH
America/Montreal,16
America/New_York,16
America/Resolute,16
America/Santarem,16
America/Santiago,16
America/Shiprock,16
America/St_Johns,16
America/St_Kitts,16
America/St_Lucia,16
America/Winnipeg,16
Africa/Bujumbura,16
Africa/Mogadishu,16
Asia/Ho_Chi_Minh,16
Asia/Krasnoyarsk,16
Asia/Novosibirsk,16
Asia/Ulaanbaatar,16
Asia/Vladivostok,16
Atlantic/Bermuda,16
Atlantic/Madeira,16
Atlantic/Stanley,16
Australia/Currie,16
Australia/Darwin,16
Australia/Hobart,16
Australia/Sydney,16
Brazil/DeNoronha,16
Europe/Amsterdam,16
Europe/Astrakhan,16
Europe/Bucharest,16
Europe/Gibraltar,16
Europe/Ljubljana,16
Europe/Mariehamn,16
Europe/Podgorica,16
Europe/Stockholm,16
Europe/Ulyanovsk,16
Europe/Volgograd,16
Indian/Christmas,16
Indian/Kerguelen,16
Indian/Mauritius,16
Mexico/BajaNorte,16
Pacific/Auckland,16
Pacific/Funafuti,16
Pacific/Honolulu,16
Pacific/Johnston,16
Pacific/Pitcairn,16
Antarctica/Casey,16
Antarctica/Davis,16
Antarctica/Syowa,16
Antarctica/Troll,16
US/East-Indiana,15
America/Antigua,15
America/Caracas,15
America/Cayenne,15
America/Chicago,15
America/Cordoba,15
America/Creston,15
America/Curacao,15
America/Detroit,15
America/Godthab,15
America/Grenada,15
America/Halifax,15
America/Iqaluit,15
America/Jamaica,15
America/Knox_IN,15
America/Managua,15
America/Marigot,15
America/Mendoza,15
America/Moncton,15
America/Nipigon,15
America/Noronha,15
America/Ojinaga,15
America/Phoenix,15
America/Rosario,15
America/Tijuana,15
America/Toronto,15
America/Tortola,15
America/Yakutat,15
Africa/Blantyre,15
Africa/Djibouti,15
Africa/El_Aaiun,15
Africa/Freetown,15
Africa/Gaborone,15
Africa/Khartoum,15
Africa/Kinshasa,15
Africa/Monrovia,15
Africa/Ndjamena,15
Africa/Sao_Tome,15
Africa/Timbuktu,15
Africa/Windhoek,15
Asia/Choibalsan,15
Asia/Phnom_Penh,15
Asia/Ulan_Bator,15
Atlantic/Azores,15
Atlantic/Canary,15
Atlantic/Faeroe,15
Australia/Eucla,15
Australia/North,15
Australia/Perth,15
Australia/South,15
Canada/Atlantic,15
Canada/Mountain,15
Europe/Belgrade,15
Europe/Brussels,15
Europe/Budapest,15
Europe/Busingen,15
Europe/Chisinau,15
Europe/Guernsey,15
Europe/Helsinki,15
Europe/Istanbul,15
Europe/Sarajevo,15
Europe/Tiraspol,15
Europe/Uzhgorod,15
Indian/Maldives,15
Pacific/Chatham,15
Pacific/Fakaofo,15
Pacific/Gambier,15
Pacific/Norfolk,15
Pacific/Pohnpei,15
America/Belize,14
America/Bogota,14
America/Cancun,14
America/Cayman,14
America/Cuiaba,14
America/Dawson,14
America/Denver,14
America/Guyana,14
America/Havana,14
America/Inuvik,14
America/Juneau,14
America/La_Paz,14
America/Maceio,14
America/Manaus,14
America/Merida,14
America/Nassau,14
America/Panama,14
America/Recife,14
America/Regina,14
America/Virgin,14
Africa/Abidjan,14
Africa/Algiers,14
Africa/Conakry,14
Africa/Kampala,14
Africa/Mbabane,14
Africa/Nairobi,14
Africa/Tripoli,14
Asia/Ashkhabad,14
Asia/Chongqing,14
Asia/Chungking,14
Asia/Famagusta,14
Asia/Hong_Kong,14
Asia/Jerusalem,14
Asia/Kamchatka,14
Asia/Kathmandu,14
Asia/Pontianak,14
Asia/Pyongyang,14
Asia/Qyzylorda,14
Asia/Samarkand,14
Asia/Singapore,14
Asia/Vientiane,14
Atlantic/Faroe,14
Australia/West,14
Canada/Central,14
Canada/Eastern,14
Canada/Pacific,14
Europe/Andorra,14
Europe/Belfast,14
Europe/Nicosia,14
Europe/Saratov,14
Europe/Tallinn,14
Europe/Vatican,14
Europe/Vilnius,14
Indian/Mayotte,14
Indian/Reunion,14
Mexico/BajaSur,14
Mexico/General,14
Pacific/Easter,14
Pacific/Kanton,14
Pacific/Kosrae,14
Pacific/Majuro,14
Pacific/Midway,14
Pacific/Noumea,14
Pacific/Ponape,14
Pacific/Saipan,14
Pacific/Tahiti,14
Pacific/Tarawa,14
Pacific/Wallis,14
America/Aruba,13
America/Bahia,13
America/Belem,13
America/Boise,13
America/Jujuy,13
America/Sitka,13
America/Thule,13
Africa/Asmara,13
Africa/Asmera,13
Africa/Bamako,13
Africa/Bangui,13
Africa/Banjul,13
Africa/Bissau,13
Africa/Douala,13
Africa/Harare,13
Africa/Kigali,13
Africa/Luanda,13
Africa/Lusaka,13
Africa/Malabo,13
Africa/Maputo,13
Africa/Maseru,13
Africa/Niamey,13
Asia/Ashgabat,13
Asia/Calcutta,13
Asia/Damascus,13
Asia/Dushanbe,13
Asia/Istanbul,13
Asia/Jayapura,13
Asia/Katmandu,13
Asia/Khandyga,13
Asia/Makassar,13
Asia/Qostanay,13
Asia/Sakhalin,13
Asia/Shanghai,13
Asia/Tashkent,13
Asia/Tel_Aviv,13
Asia/Ust-Nera,13
Australia/ACT,13
Australia/LHI,13
Australia/NSW,13
Europe/Athens,13
Europe/Berlin,13
Europe/Dublin,13
Europe/Jersey,13
Europe/Lisbon,13
Europe/London,13
Europe/Madrid,13
Europe/Monaco,13
Europe/Moscow,13
Europe/Prague,13
Europe/Samara,13
Europe/Skopje,13
Europe/Tirane,13
Europe/Vienna,13
Europe/Warsaw,13
Europe/Zagreb,13
Europe/Zurich,13
Indian/Chagos,13
Indian/Comoro,13
Pacific/Chuuk,13
Pacific/Efate,13
Pacific/Nauru,13
Pacific/Palau,13
Pacific/Samoa,13
America/Adak,12
America/Atka,12
America/Lima,12
America/Nome,12
America/Nuuk,12
Africa/Accra,12
Africa/Cairo,12
Africa/Ceuta,12
Africa/Dakar,12
Africa/Lagos,12
Africa/Tunis,12
Asia/Baghdad,12
Asia/Bahrain,12
Asia/Bangkok,12
Asia/Barnaul,12
Asia/Bishkek,12
Asia/Colombo,12
Asia/Irkutsk,12
Asia/Jakarta,12
Asia/Karachi,12
Asia/Kashgar,12
Asia/Kolkata,12
Asia/Kuching,12
Asia/Magadan,12
Asia/Nicosia,12
Asia/Rangoon,12
Asia/Tbilisi,12
Asia/Thimphu,12
Asia/Yakutsk,12
Asia/Yerevan,12
Canada/Yukon,12
Europe/Kirov,12
Europe/Malta,12
Europe/Minsk,12
Europe/Paris,12
Europe/Sofia,12
Europe/Vaduz,12
Indian/Cocos,12
Pacific/Apia,12
Pacific/Fiji,12
Pacific/Guam,12
Pacific/Niue,12
Pacific/Truk,12
Pacific/Wake,12
US/Mountain,11
US/Aleutian,11
US/Michigan,11
Africa/Juba,11
Africa/Lome,11
Asia/Almaty,11
Asia/Anadyr,11
Asia/Aqtobe,11
Asia/Atyrau,11
Asia/Beirut,11
Asia/Brunei,11
Asia/Harbin,11
Asia/Hebron,11
Asia/Kuwait,11
Asia/Manila,11
Asia/Muscat,11
Asia/Riyadh,11
Asia/Saigon,11
Asia/Taipei,11
Asia/Tehran,11
Asia/Thimbu,11
Asia/Urumqi,11
Asia/Yangon,11
Brazil/Acre,11
Brazil/East,11
Brazil/West,11
Europe/Kiev,11
Europe/Kyiv,11
Europe/Oslo,11
Europe/Riga,11
Europe/Rome,11
Indian/Mahe,11
Pacific/Yap,11
US/Eastern,10
US/Central,10
US/Pacific,10
US/Arizona,10
Asia/Amman,10
Asia/Aqtau,10
Asia/Chita,10
Asia/Dacca,10
Asia/Dhaka,10
Asia/Dubai,10
Asia/Kabul,10
Asia/Macao,10
Asia/Macau,10
Asia/Qatar,10
Asia/Seoul,10
Asia/Tokyo,10
Asia/Tomsk,10
US/Alaska,9
US/Hawaii,9
Asia/Aden,9
Asia/Baku,9
Asia/Dili,9
Asia/Gaza,9
Asia/Hovd,9
Asia/Omsk,9
Asia/Oral,9
Kwajalein,9
Singapore,9
Hongkong,8
Portugal,8
Iceland,7
Jamaica,7
Israel,6
Navajo,6
Poland,6
Turkey,6
Egypt,5
Japan,5
Libya,5
Cuba,4
Eire,4
Iran,4
NZ,2
